"","zip","childcare_programs","licensed_capacity","programs_accepting_subsidies","children_under_six","month","year"
"621","63383",6,177,NA,187,"March","2020"
"622","63384",1,20,NA,1766,"March","2020"
"623","63385",19,1414,7,NA,"March","2020"
"624","63389",1,40,1,187,"March","2020"
"625","63390",3,100,1,1049,"March","2020"
"626","63401",13,618,4,89,"March","2020"
"627","63435",2,20,NA,3908,"March","2020"
"628","63436",1,20,NA,728,"March","2020"
"629","63441",1,20,1,1061,"March","2020"
"630","63445",8,80,2,1508,"March","2020"
"631","63448",1,10,NA,364,"March","2020"
"632","63452",2,58,NA,31,"March","2020"
"633","63456",4,50,2,47,"March","2020"
"634","63459",4,72,3,176,"March","2020"
"635","63461",4,105,NA,71,"March","2020"
"636","63462",1,10,NA,125,"March","2020"
"637","63463",1,10,NA,303,"March","2020"
"638","63468",1,10,NA,134,"March","2020"
"639","63469",1,20,1,412,"March","2020"
"640","63501",7,165,3,128,"March","2020"
"641","63533",1,10,NA,249,"March","2020"
"642","63537",4,60,3,51,"March","2020"
"643","63545",1,20,1,32,"March","2020"
"644","63548",2,20,1,1045,"March","2020"
"645","63552",4,78,1,76,"March","2020"
"646","63555",4,64,1,179,"March","2020"
"647","63556",1,10,NA,48,"March","2020"
"648","63559",1,20,NA,73,"March","2020"
"649","63565",4,90,2,75,"March","2020"
"650","63601",10,421,9,420,"March","2020"
"651","63624",1,20,NA,254,"March","2020"
"652","63627",3,147,2,199,"March","2020"
"653","63628",4,138,3,114,"March","2020"
"654","63631",2,20,1,193,"March","2020"
"655","63640",16,876,7,930,"March","2020"
"656","63645",4,180,2,213,"March","2020"
"657","63653",3,50,2,699,"March","2020"
"658","63655",1,48,1,52,"March","2020"
"659","63663",1,40,1,118,"March","2020"
"660","63664",8,262,6,1385,"March","2020"
"661","63670",9,200,4,757,"March","2020"
"662","63701",11,667,5,125,"March","2020"
"663","63703",6,368,6,84,"March","2020"
"664","63730",1,20,NA,29,"March","2020"
"665","63735",1,28,1,222,"March","2020"
"666","63736",1,20,NA,469,"March","2020"
"667","63740",2,70,2,647,"March","2020"
"668","63755",10,237,4,2552,"March","2020"
"669","63760",1,10,NA,244,"March","2020"
"670","63764",1,45,NA,243,"March","2020"
"671","63769",1,20,NA,57,"March","2020"
"672","63771",1,42,1,492,"March","2020"
"673","63775",16,510,11,1582,"March","2020"
"674","63780",3,99,3,32,"March","2020"
"675","63781",1,10,1,259,"March","2020"
"676","63787",2,20,NA,77,"March","2020"
"677","63801",18,315,14,204,"March","2020"
"678","63822",2,40,2,1107,"March","2020"
"679","63823",1,7,1,371,"March","2020"
"680","63825",2,34,2,28,"March","2020"
"681","63827",1,10,NA,NA,"March","2020"
"682","63830",6,247,2,1396,"March","2020"
"683","63841",10,255,9,166,"March","2020"
"684","63845",1,48,1,56,"March","2020"
"685","63848",2,30,2,249,"March","2020"
"686","63851",2,48,2,30,"March","2020"
"687","63852",1,20,1,98,"March","2020"
"688","63857",8,160,6,327,"March","2020"
"689","63862",1,20,1,182,"March","2020"
"690","63863",4,158,2,160,"March","2020"
"691","63867",1,10,1,764,"March","2020"
"692","63869",1,10,NA,235,"March","2020"
"693","63873",5,57,1,63,"March","2020"
"694","63876",1,20,1,220,"March","2020"
"695","63877",1,20,NA,67,"March","2020"
"696","63878",1,10,1,737,"March","2020"
"697","63901",14,732,11,107,"March","2020"
"698","63932",1,30,1,371,"March","2020"
"699","63933",1,15,1,123,"March","2020"
"700","63935",6,60,6,143,"March","2020"
"701","63936",1,10,1,43,"March","2020"
"702","63944",3,60,3,319,"March","2020"
"703","63957",2,73,2,151,"March","2020"
"704","63960",2,30,1,171,"March","2020"
"705","63961",1,10,NA,5,"March","2020"
"706","63965",1,49,NA,2486,"March","2020"
"707","64012",12,442,4,9,"March","2020"
"708","64014",14,799,5,250,"March","2020"
"709","64015",14,916,7,489,"March","2020"
"710","64016",2,67,1,61,"March","2020"
"711","64024",5,382,2,122,"March","2020"
"712","64029",7,561,4,50,"March","2020"
"713","64030",18,1291,8,62,"March","2020"
"714","64034",3,117,3,279,"March","2020"
"715","64037",4,118,3,276,"March","2020"
"716","64040",5,112,1,161,"March","2020"
"717","64048",1,10,1,1662,"March","2020"
"718","64050",10,622,8,2230,"March","2020"
"719","64052",7,265,6,2164,"March","2020"
"720","64053",1,60,1,183,"March","2020"
"721","64054",1,45,1,1035,"March","2020"
"722","64055",15,1252,11,1606,"March","2020"
"723","64056",9,472,7,1977,"March","2020"
"724","64057",9,722,6,648,"March","2020"
"725","64058",1,10,NA,210,"March","2020"
"726","64060",7,560,2,361,"March","2020"
"727","64062",2,72,NA,249,"March","2020"
"728","64063",11,805,3,1342,"March","2020"
"729","64064",6,697,3,1135,"March","2020"
"730","64067",5,210,1,341,"March","2020"
"731","64068",13,1145,7,253,"March","2020"
"732","64075",6,373,4,1647,"March","2020"
"733","64076",2,233,2,1351,"March","2020"
"734","64078",3,213,2,821,"March","2020"
"735","64079",10,610,5,1099,"March","2020"
"736","64080",3,268,2,348,"March","2020"
"737","64081",8,847,3,1297,"March","2020"
"738","64082",4,322,2,1548,"March","2020"
"739","64083",12,1220,5,390,"March","2020"
"740","64085",6,112,1,2243,"March","2020"
"741","64086",7,485,4,149,"March","2020"
"742","64089",8,523,4,804,"March","2020"
"743","64093",14,605,7,739,"March","2020"
"744","64098",1,10,NA,582,"March","2020"
"745","64105",2,340,1,940,"March","2020"
"746","64106",4,301,4,1009,"March","2020"
"747","64108",6,542,2,1763,"March","2020"
"748","64109",12,1244,8,1302,"March","2020"
"749","64110",11,524,9,1878,"March","2020"
"750","64111",8,1053,3,561,"March","2020"
"751","64113",5,441,1,1726,"March","2020"
"752","64114",18,2149,4,1117,"March","2020"
"753","64116",3,226,2,1816,"March","2020"
"754","64117",4,299,2,82,"March","2020"
"755","64118",13,526,5,105,"March","2020"
"756","64119",9,513,5,34,"March","2020"
"757","64123",4,446,2,647,"March","2020"
"758","64124",5,364,2,420,"March","2020"
"759","64126",1,150,NA,451,"March","2020"
"760","64127",11,794,5,1024,"March","2020"
"761","64128",10,170,10,683,"March","2020"
"762","64129",4,196,3,207,"March","2020"
"763","64130",14,889,12,1209,"March","2020"
"764","64131",10,708,8,1590,"March","2020"
"765","64132",19,1043,13,513,"March","2020"
"766","64133",9,252,4,1191,"March","2020"
"767","64134",16,982,10,3300,"March","2020"
"768","64136",1,99,1,1956,"March","2020"
"769","64137",3,335,1,31,"March","2020"
"770","64138",17,1333,11,696,"March","2020"
"771","64145",2,281,NA,848,"March","2020"
"772","64146",1,20,1,617,"March","2020"
"773","64150",1,124,NA,1380,"March","2020"
"774","64151",6,609,4,725,"March","2020"
"775","64152",5,235,1,578,"March","2020"
"776","64153",2,104,NA,1142,"March","2020"
"777","64154",2,195,1,1903,"March","2020"
"778","64155",16,1114,5,1047,"March","2020"
"779","64156",3,60,NA,2242,"March","2020"
"780","64157",2,122,2,2277,"March","2020"
"781","64158",2,270,1,128,"March","2020"
"782","64161",2,538,1,823,"March","2020"
"783","64402",3,40,NA,1946,"March","2020"
"784","64424",4,50,1,125,"March","2020"
"785","64429",3,94,1,62,"March","2020"
"786","64439",1,78,NA,270,"March","2020"
"787","64444",1,48,NA,1526,"March","2020"
"788","64448",2,30,NA,2402,"March","2020"
"789","64454",2,70,2,282,"March","2020"
"790","64456",1,20,NA,790,"March","2020"
"791","64463",2,58,2,1669,"March","2020"
"792","64465",3,30,1,697,"March","2020"
"793","64466",1,20,NA,2211,"March","2020"
"794","64468",9,462,4,291,"March","2020"
"795","64469",1,20,NA,11,"March","2020"
"796","64470",1,20,NA,206,"March","2020"
"797","64476",1,10,NA,351,"March","2020"
"798","64477",2,30,NA,489,"March","2020"
"799","64482",1,40,NA,70,"March","2020"
"800","64485",4,248,1,40,"March","2020"
"801","64489",5,60,1,123,"March","2020"
"802","64501",6,247,5,68,"March","2020"
"803","64503",7,238,6,70,"March","2020"
"804","64504",1,10,1,176,"March","2020"
"805","64505",1,99,NA,22,"March","2020"
"806","64506",8,409,3,684,"March","2020"
"807","64507",7,309,5,125,"March","2020"
"808","64601",11,224,6,133,"March","2020"
"809","64628",4,85,1,8,"March","2020"
"810","64633",6,180,2,186,"March","2020"
"811","64640",1,99,1,93,"March","2020"
"812","64644",3,40,1,512,"March","2020"
"813","64648",1,30,1,226,"March","2020"
"814","64658",3,30,1,760,"March","2020"
"815","64659",1,10,NA,854,"March","2020"
"816","64673",1,10,NA,754,"March","2020"
"817","64683",4,107,3,749,"March","2020"
"818","64701",9,333,5,1527,"March","2020"
"819","64720",1,20,NA,986,"March","2020"
"820","64724",3,75,2,671,"March","2020"
"821","64725",3,103,2,387,"March","2020"
"822","64730",5,72,3,392,"March","2020"
"823","64735",5,356,4,222,"March","2020"
"824","64740",1,20,1,210,"March","2020"
"825","64744",6,124,3,293,"March","2020"
"826","64747",1,30,1,201,"March","2020"
"827","64759",8,154,3,68,"March","2020"
"828","64761",1,60,1,177,"March","2020"
"829","64772",16,282,8,548,"March","2020"
"830","64779",1,20,1,1249,"March","2020"
"831","64784",1,10,1,214,"March","2020"
"832","64801",22,1090,17,194,"March","2020"
"833","64804",19,1083,13,162,"March","2020"
"834","64831",3,72,1,524,"March","2020"
"835","64834",7,238,3,584,"March","2020"
"836","64835",1,60,1,105,"March","2020"
"837","64836",7,414,3,636,"March","2020"
"838","64840",1,20,1,153,"March","2020"
"839","64844",5,152,3,38,"March","2020"
"840","64850",5,120,3,222,"March","2020"
"841","64854",2,54,1,562,"March","2020"
"842","64856",2,20,2,101,"March","2020"
"843","64861",1,19,NA,898,"March","2020"
"844","64862",5,143,4,1911,"March","2020"
"845","64863",1,4,NA,2382,"March","2020"
"846","64865",5,50,3,532,"March","2020"
"847","64870",11,443,5,870,"March","2020"
"848","65010",12,334,2,138,"March","2020"
"849","65013",2,40,1,1935,"March","2020"
"850","65016",2,20,NA,151,"March","2020"
"851","65018",16,374,7,357,"March","2020"
"852","65020",11,460,8,1906,"March","2020"
"853","65026",9,225,2,421,"March","2020"
"854","65035",1,10,NA,104,"March","2020"
"855","65038",1,70,1,422,"March","2020"
"856","65039",1,10,NA,325,"March","2020"
"857","65041",5,88,1,1282,"March","2020"
"858","65043",9,292,6,405,"March","2020"
"859","65049",5,199,3,153,"March","2020"
"860","65051",10,193,4,172,"March","2020"
"861","65052",2,87,1,86,"March","2020"
"862","65054",3,150,2,449,"March","2020"
"863","65059",1,20,NA,771,"March","2020"
"864","65063",4,91,2,41,"March","2020"
"865","65065",5,360,4,815,"March","2020"
"866","65066",4,100,2,234,"March","2020"
"867","65074",1,10,NA,70,"March","2020"
"868","65075",4,30,NA,NA,"March","2020"
"869","65076",2,30,1,179,"March","2020"
"870","65078",1,14,NA,247,"March","2020"
"871","65081",2,97,1,673,"March","2020"
"872","65082",2,40,1,128,"March","2020"
"873","65085",1,10,NA,542,"March","2020"
"874","65101",30,1648,16,229,"March","2020"
"875","65109",30,1495,11,126,"March","2020"
"876","65201",33,1536,15,61,"March","2020"
"877","65202",38,963,13,31,"March","2020"
"878","65203",46,1876,18,205,"March","2020"
"879","65231",3,30,NA,308,"March","2020"
"880","65233",12,320,8,243,"March","2020"
"881","65236",2,40,1,160,"March","2020"
"882","65239",1,10,1,75,"March","2020"
"883","65240",8,124,1,53,"March","2020"
"884","65248",8,96,2,255,"March","2020"
"885","65251",11,394,7,344,"March","2020"
"886","65254",2,42,NA,80,"March","2020"
"887","65255",7,186,2,645,"March","2020"
"888","65256",3,90,1,67,"March","2020"
"889","65259",1,10,1,1794,"March","2020"
"890","65261",2,20,NA,3076,"March","2020"
"891","65265",13,189,3,1544,"March","2020"
"892","65270",10,347,8,4038,"March","2020"
"893","65275",4,106,3,4176,"March","2020"
"894","65281",5,78,3,NA,"March","2020"
"895","65284",1,43,1,188,"March","2020"
"896","65301",27,1273,18,683,"March","2020"
"897","65323",2,135,1,133,"March","2020"
"898","65325",3,135,1,547,"March","2020"
"899","65327",1,10,NA,307,"March","2020"
"900","65332",1,60,1,971,"March","2020"
"901","65336",8,337,NA,147,"March","2020"
"902","65337",1,100,1,311,"March","2020"
"903","65338",1,40,1,76,"March","2020"
"904","65340",7,134,2,237,"March","2020"
"905","65350",1,99,1,103,"March","2020"
"906","65355",3,131,3,103,"March","2020"
"907","65360",2,48,2,876,"March","2020"
"908","65401",16,755,11,1279,"March","2020"
"909","65441",2,30,NA,101,"March","2020"
"910","65452",1,40,1,196,"March","2020"
"911","65453",5,265,3,108,"March","2020"
"912","65459",3,40,NA,2521,"March","2020"
"913","65483",3,129,2,143,"March","2020"
"914","65486",4,89,2,17,"March","2020"
"915","65536",15,458,10,73,"March","2020"
"916","65542",4,100,NA,478,"March","2020"
"917","65548",1,20,1,222,"March","2020"
"918","65556",1,26,NA,103,"March","2020"
"919","65559",3,90,1,1302,"March","2020"
"920","65560",3,170,3,135,"March","2020"
"921","65565",3,74,3,463,"March","2020"
"922","65567",1,40,NA,403,"March","2020"
"923","65571",1,48,1,2224,"March","2020"
"924","65582",3,30,1,NA,"March","2020"
"925","65583",9,599,6,351,"March","2020"
"926","65584",4,189,1,256,"March","2020"
"927","65588",1,100,NA,412,"March","2020"
"928","65605",7,180,4,373,"March","2020"
"929","65606",2,40,2,252,"March","2020"
"930","65608",4,125,1,247,"March","2020"
"931","65610",1,10,NA,2108,"March","2020"
"932","65611",1,30,1,308,"March","2020"
"933","65613",10,377,7,323,"March","2020"
"934","65616",14,601,9,189,"March","2020"
"935","65617",2,94,2,515,"March","2020"
"936","65619",2,142,1,927,"March","2020"
"937","65622",6,228,4,176,"March","2020"
"938","65625",5,114,3,33,"March","2020"
"939","65629",1,40,NA,17,"March","2020"
"940","65631",4,148,4,56,"March","2020"
"941","65632",1,10,NA,83,"March","2020"
"942","65633",2,30,1,737,"March","2020"
"943","65648",3,150,2,1019,"March","2020"
"944","65652",1,40,NA,110,"March","2020"
"945","65653",4,50,1,638,"March","2020"
"946","65655",2,40,1,177,"March","2020"
"947","65661",1,15,NA,596,"March","2020"
"948","65662",1,20,NA,28,"March","2020"
"949","65667",2,50,NA,70,"March","2020"
"950","65668",3,111,2,1064,"March","2020"
"951","65672",1,28,1,1668,"March","2020"
"952","65679",1,10,NA,0,"March","2020"
"953","65680",1,40,NA,508,"March","2020"
"954","65681",1,10,NA,503,"March","2020"
"955","65686",1,30,NA,594,"March","2020"
"956","65689",1,54,1,19,"March","2020"
"957","65704",4,120,2,530,"March","2020"
"958","65705",1,10,NA,194,"March","2020"
"959","65706",7,409,4,331,"March","2020"
"960","65708",6,224,3,83,"March","2020"
"961","65711",4,90,3,97,"March","2020"
"962","65712",5,240,1,372,"March","2020"
"963","65713",1,20,NA,268,"March","2020"
"964","65714",19,1096,12,88,"March","2020"
"965","65721",12,1035,10,70,"March","2020"
"966","65723",1,10,1,32,"March","2020"
"967","65725",1,10,1,35,"March","2020"
"968","65732",1,20,1,430,"March","2020"
"969","65737",3,120,2,11,"March","2020"
"970","65738",17,965,14,186,"March","2020"
"971","65742",2,69,1,357,"March","2020"
"972","65746",4,123,1,204,"March","2020"
"973","65747",1,20,1,1208,"March","2020"
"974","65753",1,57,1,960,"March","2020"
"975","65757",3,185,3,527,"March","2020"
"976","65759",1,10,1,693,"March","2020"
"977","65769",1,9,1,171,"March","2020"
"978","65775",10,390,7,2524,"March","2020"
"979","65781",3,78,1,2217,"March","2020"
"980","65785",2,29,2,239,"March","2020"
"981","65786",1,20,NA,200,"March","2020"
"982","63787",1,20,1,28,"March","2020"
"983","65791",2,65,1,349,"March","2020"
"984","65793",3,40,2,1533,"March","2020"
"985","65802",20,1094,15,774,"March","2020"
"986","65803",16,843,11,849,"March","2020"
"987","65804",29,1976,16,152,"March","2020"
"988","65806",7,366,6,326,"March","2020"
"989","65807",42,2552,26,401,"March","2020"
"990","65810",7,449,3,133,"March","2020"
"991","65897",1,40,1,1665,"March","2020"
"992","63005",6,776,1,814,"September","2020"
"993","63010",12,1031,6,1862,"September","2020"
"994","63011",14,1950,3,2643,"September","2020"
"995","63012",3,119,2,865,"September","2020"
"996","63016",1,49,1,259,"September","2020"
"997","63017",10,1022,3,2233,"September","2020"
"998","63019",2,114,2,202,"September","2020"
"999","63020",2,208,2,1189,"September","2020"
"1000","63021",6,698,5,3967,"September","2020"
"1001","63023",1,80,NA,300,"September","2020"
"1002","63025",6,548,2,1026,"September","2020"
"1003","63026",9,911,6,2840,"September","2020"
"1004","63028",5,577,3,1599,"September","2020"
"1005","63031",16,868,10,3353,"September","2020"
"1006","63033",21,880,16,2730,"September","2020"
"1007","63034",6,330,4,745,"September","2020"
"1008","63037",2,110,2,161,"September","2020"
"1009","63038",1,110,NA,182,"September","2020"
"1010","63039",2,116,NA,61,"September","2020"
"1011","63040",2,198,1,542,"September","2020"
"1012","63042",8,632,6,1337,"September","2020"
"1013","63043",6,534,3,1237,"September","2020"
"1014","63044",5,274,3,566,"September","2020"
"1015","63045",1,102,NA,0,"September","2020"
"1016","63049",8,395,4,1187,"September","2020"
"1017","63050",6,394,5,858,"September","2020"
"1018","63051",4,140,3,673,"September","2020"
"1019","63052",6,400,4,2324,"September","2020"
"1020","63068",3,107,2,348,"September","2020"
"1021","63069",1,10,NA,1008,"September","2020"
"1022","63070",1,82,1,719,"September","2020"
"1023","63072",1,20,NA,271,"September","2020"
"1024","63074",3,190,3,1618,"September","2020"
"1025","63077",5,345,4,752,"September","2020"
"1026","63080",8,290,7,994,"September","2020"
"1027","63084",9,245,5,1264,"September","2020"
"1028","63088",1,149,NA,447,"September","2020"
"1029","63090",5,393,4,1626,"September","2020"
"1030","63103",5,511,3,288,"September","2020"
"1031","63104",10,646,7,1764,"September","2020"
"1032","63105",4,332,NA,540,"September","2020"
"1033","63106",6,255,4,1121,"September","2020"
"1034","63107",8,434,7,306,"September","2020"
"1035","63108",9,418,5,580,"September","2020"
"1036","63109",6,320,1,1862,"September","2020"
"1037","63110",12,1326,7,1125,"September","2020"
"1038","63111",5,194,4,1584,"September","2020"
"1039","63112",14,505,11,681,"September","2020"
"1040","63113",12,706,11,648,"September","2020"
"1041","63114",13,783,11,2888,"September","2020"
"1042","63115",17,695,15,1066,"September","2020"
"1043","63116",13,714,6,3012,"September","2020"
"1044","63118",13,432,12,2350,"September","2020"
"1045","63119",11,781,4,2788,"September","2020"
"1046","63120",12,493,11,722,"September","2020"
"1047","63121",16,748,14,1427,"September","2020"
"1048","63122",14,1510,3,2982,"September","2020"
"1049","63123",4,322,2,2809,"September","2020"
"1050","63124",4,351,NA,731,"September","2020"
"1051","63125",8,500,4,2197,"September","2020"
"1052","63126",3,354,1,952,"September","2020"
"1053","63127",4,394,3,226,"September","2020"
"1054","63128",11,689,3,1643,"September","2020"
"1055","63129",15,1300,7,2403,"September","2020"
"1056","63130",11,937,7,1376,"September","2020"
"1057","63131",3,285,1,1032,"September","2020"
"1058","63132",2,96,2,1160,"September","2020"
"1059","63133",8,601,8,641,"September","2020"
"1060","63134",9,337,9,865,"September","2020"
"1061","63135",11,519,11,1543,"September","2020"
"1062","63136",38,1978,32,3166,"September","2020"
"1063","63137",7,302,5,1551,"September","2020"
"1064","63138",13,539,12,1387,"September","2020"
"1065","63139",12,504,5,1531,"September","2020"
"1066","63141",13,1855,2,1078,"September","2020"
"1067","63143",3,43,1,496,"September","2020"
"1068","63144",6,574,1,710,"September","2020"
"1069","63146",5,592,4,2139,"September","2020"
"1070","63147",11,545,9,437,"September","2020"
"1071","63301",14,1098,9,3065,"September","2020"
"1072","63303",12,1170,6,3206,"September","2020"
"1073","63304",13,862,8,2717,"September","2020"
"1074","63334",7,265,2,630,"September","2020"
"1075","63339",1,20,NA,108,"September","2020"
"1076","63341",1,123,1,52,"September","2020"
"1077","63343",2,40,1,217,"September","2020"
"1078","63345",1,10,1,98,"September","2020"
"1079","63347",1,132,1,75,"September","2020"
"1080","63348",1,55,NA,451,"September","2020"
"1081","63351",1,10,NA,48,"September","2020"
"1082","63352",2,30,1,47,"September","2020"
"1083","63353",3,52,2,400,"September","2020"
"1084","63357",2,20,NA,235,"September","2020"
"1085","63361",1,18,1,268,"September","2020"
"1086","63362",2,70,1,623,"September","2020"
"1087","63366",19,1311,14,3327,"September","2020"
"1088","63367",8,578,5,2002,"September","2020"
"1089","63368",23,2403,10,3297,"September","2020"
"1090","63376",33,2263,18,4846,"September","2020"
"1091","63377",1,10,NA,187,"September","2020"
"1092","63379",8,455,7,1766,"September","2020"
"1093","63381",1,10,NA,76,"September","2020"
"1094","63382",2,54,NA,187,"September","2020"
"1095","63383",6,177,NA,1049,"September","2020"
"1096","63384",1,20,NA,89,"September","2020"
"1097","63385",16,1213,5,3908,"September","2020"
"1098","63389",1,40,1,728,"September","2020"
"1099","63390",2,50,NA,1061,"September","2020"
"1100","63401",15,667,7,1508,"September","2020"
"1101","63435",2,20,NA,364,"September","2020"
"1102","63436",1,20,NA,31,"September","2020"
"1103","63445",9,100,3,176,"September","2020"
"1104","63448",1,10,NA,71,"September","2020"
"1105","63452",2,58,NA,125,"September","2020"
"1106","63456",4,60,2,303,"September","2020"
"1107","63459",4,72,3,134,"September","2020"
"1108","63461",5,108,1,412,"September","2020"
"1109","63462",2,30,NA,128,"September","2020"
"1110","63463",1,10,NA,26,"September","2020"
"1111","63468",2,35,1,249,"September","2020"
"1112","63469",1,20,1,51,"September","2020"
"1113","63472",1,28,1,32,"September","2020"
"1114","63501",9,420,5,1045,"September","2020"
"1115","63533",1,10,NA,76,"September","2020"
"1116","63537",5,88,3,179,"September","2020"
"1117","63541",1,40,NA,48,"September","2020"
"1118","63548",2,20,1,75,"September","2020"
"1119","63552",6,218,3,420,"September","2020"
"1120","63555",5,96,2,254,"September","2020"
"1121","63565",4,90,2,193,"September","2020"
"1122","63601",10,431,9,930,"September","2020"
"1123","63624",1,20,NA,355,"September","2020"
"1124","63627",3,147,2,213,"September","2020"
"1125","63628",3,128,2,699,"September","2020"
"1126","63631",1,10,1,52,"September","2020"
"1127","63640",15,809,6,1385,"September","2020"
"1128","63645",6,285,3,757,"September","2020"
"1129","63653",3,50,2,84,"September","2020"
"1130","63655",1,48,1,29,"September","2020"
"1131","63660",1,150,NA,222,"September","2020"
"1132","63663",1,40,1,91,"September","2020"
"1133","63664",8,262,6,469,"September","2020"
"1134","63670",9,200,4,647,"September","2020"
"1135","63701",10,613,4,2552,"September","2020"
"1136","63703",4,348,4,244,"September","2020"
"1137","63730",1,20,NA,243,"September","2020"
"1138","63735",1,28,1,57,"September","2020"
"1139","63740",2,70,2,492,"September","2020"
"1140","63755",9,233,5,1582,"September","2020"
"1141","63760",1,10,NA,32,"September","2020"
"1142","63764",2,85,NA,259,"September","2020"
"1143","63769",1,20,NA,77,"September","2020"
"1144","63771",1,42,1,204,"September","2020"
"1145","63775",17,538,9,1107,"September","2020"
"1146","63780",3,102,3,371,"September","2020"
"1147","63787",1,20,1,28,"September","2020"
"1148","63801",19,365,13,1396,"September","2020"
"1149","63822",2,40,2,166,"September","2020"
"1150","63823",1,7,1,56,"September","2020"
"1151","63825",1,24,1,249,"September","2020"
"1152","63827",1,10,NA,30,"September","2020"
"1153","63830",4,81,2,327,"September","2020"
"1154","63834",1,80,NA,182,"September","2020"
"1155","63841",7,170,6,764,"September","2020"
"1156","63845",2,108,1,235,"September","2020"
"1157","63848",2,30,2,63,"September","2020"
"1158","63851",3,118,1,220,"September","2020"
"1159","63852",1,20,1,67,"September","2020"
"1160","63857",8,160,6,737,"September","2020"
"1161","63863",3,107,2,371,"September","2020"
"1162","63867",1,10,1,123,"September","2020"
"1163","63869",2,20,NA,143,"September","2020"
"1164","63873",5,57,1,319,"September","2020"
"1165","63876",2,128,1,151,"September","2020"
"1166","63877",1,20,NA,171,"September","2020"
"1167","63878",1,10,1,5,"September","2020"
"1168","63901",13,691,10,2486,"September","2020"
"1169","63932",1,30,1,9,"September","2020"
"1170","63933",1,15,1,250,"September","2020"
"1171","63935",5,50,5,489,"September","2020"
"1172","63936",1,10,1,61,"September","2020"
"1173","63937",1,40,NA,122,"September","2020"
"1174","63944",3,60,3,50,"September","2020"
"1175","63954",1,19,NA,62,"September","2020"
"1176","63957",2,73,2,279,"September","2020"
"1177","63960",1,10,NA,276,"September","2020"
"1178","63961",1,10,NA,71,"September","2020"
"1179","63965",1,16,NA,161,"September","2020"
"1180","64012",15,873,7,1662,"September","2020"
"1181","64014",13,715,5,2230,"September","2020"
"1182","64015",12,738,7,2164,"September","2020"
"1183","64016",2,67,1,183,"September","2020"
"1184","64024",4,338,2,1035,"September","2020"
"1185","64029",7,561,4,1606,"September","2020"
"1186","64030",12,283,7,1977,"September","2020"
"1187","64034",3,117,3,648,"September","2020"
"1188","64037",4,118,2,210,"September","2020"
"1189","64040",4,102,1,361,"September","2020"
"1190","64048",1,10,1,249,"September","2020"
"1191","64050",9,623,7,1342,"September","2020"
"1192","64052",5,200,4,1135,"September","2020"
"1193","64053",1,60,1,341,"September","2020"
"1194","64054",1,45,1,253,"September","2020"
"1195","64055",15,1203,11,1647,"September","2020"
"1196","64056",6,431,5,1351,"September","2020"
"1197","64057",7,654,5,821,"September","2020"
"1198","64058",1,10,NA,431,"September","2020"
"1199","64060",6,493,2,1099,"September","2020"
"1200","64062",2,57,NA,348,"September","2020"
"1201","64063",12,872,3,1297,"September","2020"
"1202","64064",7,918,4,1548,"September","2020"
"1203","64067",1,24,NA,390,"September","2020"
"1204","64068",17,1342,7,2243,"September","2020"
"1205","64075",6,373,5,804,"September","2020"
"1206","64076",1,134,1,739,"September","2020"
"1207","64078",3,213,2,582,"September","2020"
"1208","64079",11,730,5,940,"September","2020"
"1209","64080",3,293,2,1009,"September","2020"
"1210","64081",7,932,3,1763,"September","2020"
"1211","64082",3,278,2,1302,"September","2020"
"1212","64083",12,1255,5,1878,"September","2020"
"1213","64085",5,98,1,561,"September","2020"
"1214","64086",7,448,3,1726,"September","2020"
"1215","64089",4,366,1,1117,"September","2020"
"1216","64093",12,537,7,1816,"September","2020"
"1217","64096",1,32,1,82,"September","2020"
"1218","64098",1,10,NA,250,"September","2020"
"1219","64105",1,220,NA,34,"September","2020"
"1220","64106",4,301,3,647,"September","2020"
"1221","64108",3,365,1,420,"September","2020"
"1222","64109",9,1202,8,451,"September","2020"
"1223","64110",9,388,8,1024,"September","2020"
"1224","64111",8,902,5,683,"September","2020"
"1225","64112",1,67,NA,207,"September","2020"
"1226","64113",5,390,1,1209,"September","2020"
"1227","64114",12,1427,3,1590,"September","2020"
"1228","64116",5,414,3,513,"September","2020"
"1229","64117",5,411,2,1191,"September","2020"
"1230","64118",14,975,5,3300,"September","2020"
"1231","64119",10,679,6,1956,"September","2020"
"1232","64123",1,36,1,696,"September","2020"
"1233","64124",2,88,2,848,"September","2020"
"1234","64127",5,242,4,1380,"September","2020"
"1235","64128",12,300,10,725,"September","2020"
"1236","64129",3,96,2,578,"September","2020"
"1237","64130",13,1375,11,1142,"September","2020"
"1238","64131",10,473,8,1903,"September","2020"
"1239","64132",14,443,13,1047,"September","2020"
"1240","64133",9,348,6,2242,"September","2020"
"1241","64134",11,423,10,2277,"September","2020"
"1242","64136",1,99,1,128,"September","2020"
"1243","64137",3,409,2,823,"September","2020"
"1244","64138",14,668,10,1946,"September","2020"
"1245","64145",1,121,NA,125,"September","2020"
"1246","64146",1,20,1,156,"September","2020"
"1247","64150",1,124,NA,270,"September","2020"
"1248","64151",8,714,4,1526,"September","2020"
"1249","64152",7,355,1,2402,"September","2020"
"1250","64153",2,104,NA,282,"September","2020"
"1251","64154",2,195,1,790,"September","2020"
"1252","64155",13,986,4,1669,"September","2020"
"1253","64156",2,50,1,697,"September","2020"
"1254","64157",2,122,2,2211,"September","2020"
"1255","64158",2,270,1,291,"September","2020"
